ID,Name,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,AVG,Def10,Def11,Def12,Def13,Def14,Def15,Def16,Def17,Def18,Def19,Def20,Def21,Size10,Size11,Size12,Size13,Size14,Size15,Size16,Size17,Size18,Size19,Size20,Size21
ISS202,ISS 202: Army Lodging Management,0,0,0,0,-0.873987854,-0.990363128,-0.130123867,-0.098851227,0,0,0,0,5.78,0,0,0,0,-3454000,-7091000,-1019000,-697000,0,0,0,0,0.7,0.7,0.7,0.7,2,3,2,1,0.7,0.7,0.7,0.7
ISS251,ISS 251: Army Community Service,-0.133720036,-0.032267024,0.209575046,-0.215017596,-0.750490093,-0.308069237,-0.143715415,-0.066259122,0,0,0,0,6.3,-48665000,-10456000,56759000,-63605000,-218596000,-93048000,-44541000,-20301000,0,0,0,0,6,3,6,7,11,8,6,4,0.7,0.7,0.7,0.7
ISS252,"ISS 252: Child, Youth, and School Services",-0.05132307,-0.051205877,-0.017089748,-0.177718563,-0.831361668,-0.315317614,-0.075385086,0.00807551,0,0,0,0,7.48,-30350000,-30629000,-9751000,-106645000,-439856000,-190344000,-40694000,4283000,0,0,0,0,5,5,3,9,14,10,6,2,0.7,0.7,0.7,0.7
ISS253,"ISS 253: Sports, Recreation, and Libraries",-0.258899727,-0.003667576,-0.00209205,-0.086518287,-0.805673144,-0.369574193,-0.038832264,-0.023208408,0,0,0,0,5.6,-50127000,-496500,-257000,-12721000,-109721000,-46100500,-4699500,-2806500,0,0,0,0,6,1,1,3,9,6,2,2,0.7,0.7,0.7,0.7
ISS254,ISS 254: Business Operations,-0.258899727,-0.003667576,-0.00209205,-0.086518287,-0.805673144,-0.369574193,-0.038832264,-0.023208408,0,0,0,0,4.2,-50127000,-496500,-257000,-12721000,-109721000,-46100500,-4699500,-2806500,0,0,0,0,6,1,1,3,9,6,2,2,0.7,0.7,0.7,0.7
ISS201,ISS 201: Family Housing Management,-0.075169439,-0.006294395,-0.070518255,-0.17336636,-0.149098499,-0.33375466,-0.134927072,-0.073472677,0,0,0,0,7.06,-7076000,-428000,-5157000,-61522000,-46433000,-104828000,-36929000,-16321000,0,0,0,0,3,1,3,7,6,9,5,4,0.7,0.7,0.7,0.7
ISS414,ISS 414: Facilities Maintenance - Army Family Housing,0.266663201,-0.191443693,-0.025441131,-0.073146238,0.168795697,-0.341332762,-0.0312037,-0.154616937,0,0,0,0,6.44,15391000,-11684000,-1400000,-8012000,18169000,-35046000,-2422000,-11110000,0,0,0,0,4,3,2,3,4,5,2,3,0.7,0.7,0.7,0.7
ISS411,ISS 411: Facilities Maintenance - Vertical,0,-0.000927644,-0.000784906,-1,-0.628681178,-0.908972692,0.056410256,0,0,0,0,0,6.24,0,-88000,-158000,-83000,-491000,-699000,44000,0,0,0,0,0,0.7,1,1,1,1,1,1,0.7,0.7,0.7,0.7,0.7
ISS420,ISS 420: Facilities Maintenance - Horizontal,0,-1.31928E-05,0,0,0,0,0,0,0,0,0,0,6.25,0,-1000,0,0,0,0,0,0,0,0,0,0,0.7,1,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ISS200,ISS 200: UEPH/SEBQ/UOQ Management,0.348660181,-0.427040129,-0.501992373,-0.48163506,-0.439884743,-0.359214788,-0.107206778,-0.037412926,0,0,0,0,6.12,62429000,-63424000,-76217000,-76776000,-62439000,-45473000,-14855000,-3867000,0,0,0,0,7,7,7,7,7,6,3,2,0.7,0.7,0.7,0.7
