ID,MDEP,APE,ISS-MATCH,Fund10,Req10,Fund11,Req11,Fund12,Req12,Fund13,Req13,Fund14,Req14,Fund15,Req15,Fund16,Req16,Fund17,Req17,Fund18,Req18,Fund19,Req19,Fund20,Req20,Fund21,Req21
2A0 QPSG 121018000,QPSG, 121018000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QPSG 131034G00,QPSG, 131034G00,800,139349,0,39255,0,0,0,125410,115757,0,115369,122865,138286,129483,139006,129398,141789,127548,0,127767,0,129898,0,132584,0
2A0 QPSG 131R34G00,QPSG, 131R34G00,800,2581,0,0,0,0,0,3936,3905,4240,5411,3825,5600,4753,4980,5022,5022,5063,0,5115,0,5166,0,5225,0
360 QPSG 121018000,QPSG, 121018000,800,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400 QPSG 121018000,QPSG, 121018000,800,85,85,85,97,106,107,82,118,50,120,72,100,70,101,85,111,89,0,93,0,95,0,97,0
500 QPSG 121018000,QPSG, 121018000,800,503,269,801,306,335,338,450,372,500,386,322,388,273,395,337,579,355,0,378,0,386,0,394,0
570 QPSG 121018000,QPSG, 121018000,800,1019,677,1214,762,840,847,290,938,828,973,732,1010,691,1028,852,1281,899,0,957,0,976,0,996,0
6A0 QPSG 121018000,QPSG, 121018000,800,101,101,0,115,125,126,0,339,0,345,89,147,149,149,152,152,155,0,141,0,144,0,147,0
6A0 QPSG 131034G00,QPSG, 131034G00,800,0,0,39,0,0,0,73,136,95,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740 QPSG 121018000,QPSG, 121018000,800,182,227,161,248,251,271,525,296,489,301,533,697,197,646,243,655,256,0,273,0,278,0,284,0
740 QPSG 131034G00,QPSG, 131034G00,800,163,0,175,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760 QPSG 121018000,QPSG, 121018000,800,2527,5145,1208,5244,997,5009,1148,5720,775,5807,1167,5811,1139,5814,1397,5579,1474,0,1568,0,1600,0,1632,0
780 QPSG 121018000,QPSG, 121018000,800,290,335,303,380,104,105,0,116,124,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780 QPSG 138214000,QPSG, 138214000,800,0,0,0,0,0,0,0,0,0,0,79,122,103,122,106,6,108,0,110,0,112,0,114,0
820 QPSG 121018000,QPSG, 121018000,800,304,304,201,345,436,697,414,768,366,793,352,970,382,987,401,472,420,0,448,0,455,0,460,0
840 QPSG 121018000,QPSG, 121018000,800,0,0,0,0,0,0,0,0,0,0,12,133,93,100,102,102,104,0,106,0,108,0,110,0
840 QPSG 131034G00,QPSG, 131034G00,800,0,0,0,0,0,0,6,129,9,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890 QPSG 121018000,QPSG, 121018000,800,730,729,573,829,861,866,164,958,342,980,225,457,318,460,388,399,406,0,415,0,423,0,432,0
8A0 QPSG 121018000,QPSG, 121018000,800,25,0,0,0,86,86,30,88,4,90,65,116,64,118,79,89,83,0,89,0,91,0,93,0
8A0 QPSG 131034G00,QPSG, 131034G00,800,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0
8B0 QPSG 121018000,QPSG, 121018000,800,0,0,0,0,17,0,10,68,3,70,0,92,13,61,16,128,17,0,17,0,17,0,17,0
8K0 QPSG 121018000,QPSG, 121018000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8M0 QPSG 121018000,QPSG, 121018000,800,0,0,18,0,50,50,0,51,3,53,19,40,37,41,33,33,34,0,35,0,37,0,40,0
940 QPSG 121018000,QPSG, 121018000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940 QPSG 138213000,QPSG, 138213000,800,64,0,50,98,45,97,13,99,16,102,10,26,23,23,23,5,22,0,22,0,22,0,22,0
000 QAAF 121012000,QAAF, 121012000,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QAAF 131032100,QAAF, 131032100,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QAAF 131032200,QAAF, 131032200,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QAAF 324774000,QAAF, 324774000,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QAAF 131032100,QAAF, 131032100,900,0,0,358,86,86,86,307,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QAAF 131032200,QAAF, 131032200,900,356,0,0,273,272,273,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QAAF 131G32100,QAAF, 131G32100,900,1908,5839,1813,2186,2655,2655,1421,2302,4447,8057,3544,13711,9286,12143,13831,13831,11055,0,12120,0,12682,0,11916,0
180 QAAF 131G32200,QAAF, 131G32200,900,2178,0,2718,3982,4034,4034,4072,5072,3222,5151,3429,16504,10226,16358,16356,16356,14094,0,16215,0,16207,0,16542,0
2A0 QAAF 131032100,QAAF, 131032100,900,51392,47401,83676,45282,52917,52917,89902,58911,92239,71487,59,15938,21499,30256,27663,29124,21589,0,30281,0,31566,0,32162,0
2A0 QAAF 131032200,QAAF, 131032200,900,35058,29221,7177,28126,27426,27426,0,28022,0,18978,94970,74661,51002,62004,58879,62167,62064,0,67330,0,68131,0,69721,0
2A0 QAAF 131R32100,QAAF, 131R32100,900,305,942,569,570,591,597,676,565,509,88,185,146,736,760,779,779,791,0,803,0,816,0,833,0
2A0 QAAF 131R32200,QAAF, 131R32200,900,411,0,308,308,160,160,213,248,160,462,670,473,78,132,106,567,278,0,121,0,127,0,134,0
2A0 QAAF 665301DW8,QAAF, 665301DW8,900,0,0,0,0,0,0,0,0,0,0,0,0,0,3076,2776,2776,2870,0,2986,0,3071,0,3150,0
360 QAAF 121012000,QAAF, 121012000,900,1535,1586,0,1744,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400 QAAF 121012000,QAAF, 121012000,900,6250,3007,6922,4527,8946,8956,5509,8597,5850,9302,6374,8935,6443,7777,7456,8313,6894,0,8190,0,8339,0,8519,0
410 QAAF 121012000,QAAF, 121012000,900,1111,1114,1200,1203,1181,1193,1746,1245,1177,1288,1429,1329,871,4695,1068,3075,1126,0,2819,0,3004,0,3056,0
570 QAAF 324774000,QAAF, 324774000,900,2768,2854,3500,2910,0,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5E0 QAAF 324774000,QAAF, 324774000,900,4423,4855,4381,4796,4523,4708,0,4902,0,4629,0,4643,2568,2568,2875,2875,2859,0,2976,0,2977,0,3042,0
5X0 QAAF 324774000,QAAF, 324774000,900,0,0,0,0,0,0,2906,0,2552,0,2373,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QAAF 121012000,QAAF, 121012000,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840 QAAF 121012000,QAAF, 121012000,900,1051,1080,1103,1098,1075,1076,1096,1078,953,1314,345,1220,872,1210,1013,1227,1032,0,1271,0,1276,0,1305,0
890 QAAF 121012000,QAAF, 121012000,900,11823,2437,14899,10224,11212,12332,17892,13298,17482,12194,15868,15693,9033,15360,9920,12076,11842,0,14295,0,14433,0,14693,0
000 QNMG 131034B00,QNMG, 131034B00,102-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034B00,QNMG, 131034B00,102-105,0,5485,0,4388,170,170,0,175,0,205,0,323,218,271,280,280,284,0,288,0,297,0,303,0
180 QNMG 131G34B00,QNMG, 131G34B00,102-105,0,101,0,102,777,2110,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220 QNMG 131034B00,QNMG, 131034B00,102-105,0,1881,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 131034B00,QNMG, 131034B00,102-105,35898,51768,12743,69099,41025,41824,0,45471,0,43476,52762,41925,43783,43754,41113,42093,39897,0,38880,0,38742,0,38826,0
2A0 QNMG 131R34B00,QNMG, 131R34B00,102-105,1979,1997,952,4126,3377,4385,4179,3563,4155,4012,4041,3894,2406,3099,2720,3062,3093,0,3075,0,3227,0,3244,0
6A0 QNMG 131034B00,QNMG, 131034B00,102-105,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0
740 QNMG 131034B00,QNMG, 131034B00,102-105,299,1914,305,1973,187,187,0,191,0,195,0,358,256,370,0,0,0,0,0,0,0,0,0,0
780 QNMG 131034B00,QNMG, 131034B00,102-105,470,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8B0 QNMG 131034B00,QNMG, 131034B00,102-105,0,0,0,0,0,0,0,9,23,9,0,9,6,9,0,0,0,0,0,0,0,0,0,0
000 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,41,0,0,2131,0,0,0,0,0,0,0,0,0,0,1878,1878,617,0,630,0,643,0,656,0
080 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,2349,2539,2693,2942,2792,2792,2571,2708,3173,3184,3379,3395,3311,3512,3251,3251,3187,0,3239,0,3296,0,3363,0
210 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,30,0,66,66,14,67,12,61,14,52,35,62,17,17,17,0,18,0,19,0,20,0
220 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,134,0,137,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,134329,54952,110074,76595,76406,76592,92514,77095,87005,74930,93738,78400,81457,85040,85673,85673,87041,0,85015,0,85116,0,88363,0
570 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6A0 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,0,0,396,0,335,2153,2052,2192,2496,2510,4228,4228,4179,0,4243,0,4324,0,4417,0
740 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,663,308,659,314,187,187,0,192,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0
820 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,186,0,0,0,0,0,0,0,0,0,6636,6636,0,0,0,0,0,0,0,0
890 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,542,0,0,0,0,0,0,0,0
8A0 QFMC 131034U00,QFMC, 131034U00,115 & 116 & 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4796,4796,0,0,0,0,0,0,0,0
000 QDPC 131030000,QDPC, 131030000,253 & 254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QDPC 131030000,QDPC, 131030000,253 & 254,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QDPC 131G30000,QDPC, 131G30000,253 & 254,265,207,208,212,206,366,357,396,508,404,291,412,407,419,425,510,431,0,438,0,445,0,454,0
180 QDPC 1N1152000,QDPC, 1N1152000,253 & 254,0,0,0,0,0,0,1029,0,951,0,345,0,732,732,667,747,761,0,775,0,791,0,803,0
180 QDPC 1N1812000,QDPC, 1N1812000,253 & 254,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,72,0,0,0,0,0,0,0,0
180 QDPC 1N1852000,QDPC, 1N1852000,253 & 254,0,0,0,0,0,0,95,0,221,0,129,0,72,0,156,76,76,0,78,0,77,0,78,0
180 QDPC 1N3152000,QDPC, 1N3152000,253 & 254,0,0,0,0,0,0,3832,0,3096,0,1400,0,5452,5452,4811,5561,5670,0,5779,0,5890,0,5985,0
180 QDPC 1N3812000,QDPC, 1N3812000,253 & 254,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,325,0,0,0,0,0,0,0,0
180 QDPC 1N3852000,QDPC, 1N3852000,253 & 254,0,0,0,0,0,0,414,0,470,0,529,0,325,0,1101,351,338,0,343,0,341,0,347,0
210 QDPC 131030000,QDPC, 131030000,253 & 254,0,0,10,0,25,25,20,26,6,21,5,22,21,22,21,21,22,0,22,0,22,0,22,0
2A0 QDPC 131030000,QDPC, 131030000,253 & 254,283396,381810,267853,265724,240751,241103,262090,283682,46701,266118,153999,245540,224624,230269,223293,228424,225532,0,229599,0,229697,0,234373,0
2A0 QDPC 131R30000,QDPC, 131R30000,253 & 254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QDPC 665301DW8,QDPC, 665301DW8,253 & 254,0,0,0,0,0,0,0,0,0,0,0,0,0,3351,4882,4882,6557,0,8435,0,8656,0,8871,0
390 QDPC 131030000,QDPC, 131030000,253 & 254,0,0,0,0,0,0,73,0,86,109,81,110,111,111,88,88,89,0,91,0,93,0,94,0
440 QDPC 131030000,QDPC, 131030000,253 & 254,1994,4090,546,3782,3852,3852,0,3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570 QDPC 131030000,QDPC, 131030000,253 & 254,0,10,0,0,0,0,232,0,436,613,301,623,523,523,500,500,508,0,516,0,517,0,527,0
6A0 QDPC 131030000,QDPC, 131030000,253 & 254,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740 QDPC 131030000,QDPC, 131030000,253 & 254,1003,692,868,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840 QDPC 131030000,QDPC, 131030000,253 & 254,230,333,273,338,344,346,474,355,448,362,198,369,375,375,295,295,298,0,301,0,304,0,307,0
180 QSUP 121G12000,QSUP, 121G12000,300 & 302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,950,695,948,788,948,803,947
2A0 QSUP 121R12000,QSUP, 121R12000,300 & 302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,184,184,187,187,190,190
6A0 QSUP 121R12000,QSUP, 121R12000,300 & 302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,946,879,945,907,945,907,945
6A0 QSUP 121012000,QSUP, 121012000,300 & 302 & 309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32800,35800,33990,35779,33950,35737,33911,35696
220 QUTS 131079600,QUTS, 131079600,504 & 512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21727,21727,22119,22119,22516,22516,23000,23000
2A0 QUTS 131079600,QUTS, 131079600,504 & 512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615430,615430,663763,663763,701735,701735,735192,735192
000 QNMG 121012000,QNMG, 121012000,901 & 902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 121012000,QNMG, 121012000,901 & 902,60674,38387,75707,39043,37657,49237,42422,46959,38874,38514,39302,47969,53263,53197,51638,51638,51148,0,51536,0,52447,0,53555,0
820 QNMG 121012000,QNMG, 121012000,901 & 902,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8A0 QNMG 121012000,QNMG, 121012000,901 & 902,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
