ID,MDEP,APE,ISS-MATCH,Fund10,Req10,Fund11,Req11,Fund12,Req12,Fund13,Req13,Fund14,Req14,Fund15,Req15,Fund16,Req16,Fund17,Req17,Fund18,Req18,Fund19,Req19,Fund20,Req20,Fund21,Req21
840 QNMG 131034D00,QNMG, 131034D00,107,0,0,0,0,0,0,0,165,195,167,0,242,247,247,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34E00,QNMG, 131G34E00,108,5,245,0,250,39,39,40,40,38,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QNMG 131R34E00,QNMG, 131R34E00,108,339,0,207,443,1550,1550,195,1597,0,816,314,676,636,784,719,799,776,0,734,0,836,0,848,0
2A0 QNMG 131034E00,QNMG, 131034E00,108,724,1578,14,696,1017,1097,0,553,349273,78,0,0,91,91,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 131R34E00,QNMG, 131R34E00,108,793,506,143,588,260,260,232,268,231,579,461,696,218,263,247,275,274,0,281,0,293,0,318,0
840 QNMG 131034E00,QNMG, 131034E00,108,0,0,0,0,0,0,0,115,0,117,0,173,53,53,0,0,0,0,0,0,0,0,0,0
890 QNMG 131034E00,QNMG, 131034E00,108,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8B0 QNMG 131034E00,QNMG, 131034E00,108,0,0,0,0,0,0,0,27,0,27,0,27,19,27,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,170,170,0,175,0,205,0,315,252,280,294,294,302,0,310,0,320,0,325,0
180 QNMG 131G34F00,QNMG, 131G34F00,109,6,0,0,0,212,577,585,1330,396,947,170,961,1007,1678,1222,1557,1222,0,1226,0,1078,0,1099,0
240 QNMG 131R34F00,QNMG, 131R34F00,109,1147,0,0,0,0,0,517,1090,0,1718,934,1451,1416,1759,1593,1791,1817,0,1812,0,1854,0,1879,0
2A0 QNMG 131034F00,QNMG, 131034F00,109,17382,10274,7641,9469,15361,22544,0,14543,0,12386,18734,13261,14740,14740,14000,14352,13890,0,13704,0,13528,0,13577,0
2A0 QNMG 131R34F00,QNMG, 131R34F00,109,149,0,0,0,1000,1000,1161,870,1154,313,222,331,224,225,203,226,228,0,232,0,212,0,218,0
740 QNMG 131034F00,QNMG, 131034F00,109,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QNMG 131R34F00,QNMG, 131R34F00,109,55,0,0,0,0,0,0,0,0,48,0,46,53,55,0,0,0,0,0,0,0,0,0,0
840 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,0,0,0,140,0,142,0,222,127,127,0,0,0,0,0,0,0,0,0,0
890 QNMG 131R34F00,QNMG, 131R34F00,109,17,0,0,0,0,0,0,0,0,60,0,60,59,70,0,0,0,0,0,0,0,0,0,0
8B0 QNMG 131034F00,QNMG, 131034F00,109,0,0,0,0,0,0,0,9,0,9,0,21,14,21,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034H00,QNMG, 131034H00,111,0,0,259,265,255,255,1833,261,0,309,0,333,327,386,400,400,415,0,426,0,439,0,463,0
2A0 QNMG 131034H00,QNMG, 131034H00,111,7296,6644,4123,16770,12399,13725,0,13612,0,13448,15533,17932,11977,11905,11504,12343,11403,0,11618,0,11830,0,11891,0
2A0 QNMG 131R34H00,QNMG, 131R34H00,111,0,0,287,613,648,648,464,602,461,548,522,526,558,624,562,632,605,0,563,0,574,0,636,0
740 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,88,93,93,0,96,0,99,0,242,145,260,0,0,0,0,0,0,0,0,0,0
780 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,0,106,106,0,112,0,0,0,114,79,116,0,0,0,0,0,0,0,0,0,0
840 QNMG 131034H00,QNMG, 131034H00,111,0,0,0,0,0,0,205,250,0,253,0,346,228,152,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QNMG 131034J00,QNMG, 131034J00,112,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034J00,QNMG, 131034J00,112,0,0,173,177,511,511,0,524,0,615,0,1020,725,875,904,904,932,0,930,0,961,0,988,0
180 QNMG 131G34J00,QNMG, 131G34J00,112,12339,0,12619,0,5506,15184,23819,18307,20028,28449,18539,27181,19470,25263,23611,25209,23811,0,24092,0,25347,0,25087,0
220 QNMG 131034J00,QNMG, 131034J00,112,388,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QNMG 131R34J00,QNMG, 131R34J00,112,2862,0,0,0,0,0,0,0,0,2189,278,1256,1245,1550,1390,1572,1605,0,1665,0,1695,0,1693,0
2A0 QNMG 131034J00,QNMG, 131034J00,112,28963,14762,14724,13934,29921,30239,0,28764,0,25758,35185,30859,23318,29418,23728,23728,25561,0,25238,0,25282,0,25435,0
2A0 QNMG 131R34J00,QNMG, 131R34J00,112,1149,0,286,615,3353,3353,3018,2864,3000,1932,1474,2777,1436,1706,1553,1746,1713,0,1754,0,1624,0,1753,0
6A0 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
740 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,88,93,93,0,96,0,99,0,206,145,210,0,0,0,0,0,0,0,0,0,0
780 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,0,10,10,0,14,0,0,0,13,11,16,0,0,0,0,0,0,0,0,0,0
840 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,0,0,0,0,150,0,152,228,195,95,95,0,0,0,0,0,0,0,0,0,0
890 QNMG 131034J00,QNMG, 131034J00,112,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QNMG 131034Y00,QNMG, 131034Y00,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QNMG 131034Y00,QNMG, 131034Y00,113,4984,0,87,88,86,86,79,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QNMG 131034Y00,QNMG, 131034Y00,113,0,185,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34Y00,QNMG, 131G34Y00,113,12040,15436,10022,17534,10159,28948,1250,27697,6493,16110,7782,16389,9117,15045,13106,16326,13379,0,13390,0,14994,0,14837,0
220 QNMG 131034Y00,QNMG, 131034Y00,113,2710,37,733,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 131034Y00,QNMG, 131034Y00,113,58596,39195,33668,59028,44177,53923,0,54222,0,54642,62893,48651,52305,55336,50494,50834,51045,0,47276,0,48410,0,51039,0
2A0 QNMG 131R34Y00,QNMG, 131R34Y00,113,5109,47564,17371,46418,2231,16381,5107,6188,5077,5818,5519,5679,4125,5130,4748,5242,5231,0,5309,0,5315,0,5434,0
6A0 QNMG 131034Y00,QNMG, 131034Y00,113,0,418,300,427,413,413,183,440,0,340,0,580,408,408,0,0,0,0,0,0,0,0,0,0
740 QNMG 131034Y00,QNMG, 131034Y00,113,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940 QNMG 131034Y00,QNMG, 131034Y00,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QFMC 131G34U00,QFMC, 131G34U00,118,3368,7350,3575,7433,5087,5422,3937,5419,3703,4438,4040,4315,3152,4457,3634,4464,4453,0,4573,0,4772,0,4849,0
240 QFMC 131R34U00,QFMC, 131R34U00,118,6703,6939,8902,8559,7559,7559,5418,7866,5492,7824,5994,7930,7843,7868,8314,8314,8314,0,8292,0,8492,0,8611,0
2A0 QFMC 131R34U00,QFMC, 131R34U00,118,7856,3965,5274,4684,6696,6757,6522,6889,5727,6437,5854,6229,6084,6101,6974,6974,7188,0,7438,0,7498,0,7673,0
2A0 QFMC 665301DW8,QFMC, 665301DW8,118,0,0,0,0,0,0,0,0,0,0,0,0,0,3895,412,412,427,0,440,0,463,0,477,0
6A0 QFMC 131R34U00,QFMC, 131R34U00,118,0,0,0,0,0,0,114,0,133,363,251,370,385,387,402,402,416,0,431,0,445,0,462,0
820 QFMC 131R34U00,QFMC, 131R34U00,118,0,0,0,0,515,515,509,536,486,548,512,580,580,582,629,629,648,0,669,0,691,0,715,0
000 QNMG 131034V00,QNMG, 131034V00,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QNMG 131G34V00,QNMG, 131G34V00,121,0,0,0,0,84,227,0,94,0,144,0,146,0,0,0,0,0,0,0,0,0,0,0,0
240 QNMG 131R34V00,QNMG, 131R34V00,121,0,405,36,153,78,78,28,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QNMG 131034V00,QNMG, 131034V00,121,56433,36476,27034,55717,36319,46569,0,41209,0,36691,39802,38332,26946,26946,25817,25817,25210,0,25501,0,25493,0,25569,0
2A0 QNMG 131R34V00,QNMG, 131R34V00,121,2500,4077,1621,3550,461,461,464,1932,461,3977,3134,3166,1672,2040,1956,2172,2244,0,2220,0,2104,0,2350,0
6A0 QNMG 131034V00,QNMG, 131034V00,121,0,0,0,0,0,0,0,0,0,78,0,274,151,151,0,0,0,0,0,0,0,0,0,0
000 QDOC 131034W00,QDOC, 131034W00,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QDOC 131034W00,QDOC, 131034W00,122,653,669,652,675,650,673,645,680,1690,1724,1854,2562,2001,2323,2096,2401,2023,0,2059,0,2096,0,2149,0
220 QDOC 131034W00,QDOC, 131034W00,122,111,153,0,159,160,162,0,283,0,286,0,288,0,0,0,0,0,0,0,0,0,0,0,0
6A0 QDOC 131034W00,QDOC, 131034W00,122,185271,186182,64339,187833,112720,166161,124692,173057,121053,121648,123794,132961,120494,130464,121288,126453,118772,0,119224,0,121323,0,123837,0
6A0 QDOC 131R34W00,QDOC, 131R34W00,122,9714,9416,9834,9623,9624,11337,7574,9617,8247,9872,8443,9395,10102,10133,10215,10235,10394,0,10455,0,10611,0,10864,0
000 QHFM 131052200,QHFM, 131052200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030 QHFM 131052200,QHFM, 131052200,200,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QHFM 131G52100,QHFM, 131G52100,200,0,0,0,0,0,0,0,0,0,0,0,428,0,329,0,250,0,0,0,0,0,0,0,0
180 QHFM 131G52200,QHFM, 131G52200,200,0,0,0,0,0,2250,6401,8511,4311,5284,7567,10898,17207,17413,13526,15900,14919,0,14934,0,15934,0,14934,0
220 QHFM 131052300,QHFM, 131052300,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708,4708,4732,0,0,0,0,0,0,0
2A0 QHFM 131052100,QHFM, 131052100,200,49322,0,24128,0,26058,71314,0,69964,0,69834,261,27758,12919,19223,17590,17590,17589,0,17393,0,17732,0,18111,0
2A0 QHFM 131052200,QHFM, 131052200,200,189380,120342,58077,115794,43764,69768,72306,50622,0,24383,71133,55894,44905,49815,43131,44374,47079,0,46835,0,46863,0,46900,0
2A0 QHFM 131052300,QHFM, 131052300,200,0,0,14,0,0,0,0,24097,72971,39486,0,28258,46819,47735,16817,16817,18389,0,18731,0,19085,0,19430,0
2A0 QHFM 131R52100,QHFM, 131R52100,200,43,0,0,0,361,3068,628,1580,356,583,185,339,482,710,622,622,632,0,643,0,654,0,664,0
2A0 QHFM 131R52200,QHFM, 131R52200,200,1848,8457,2877,8584,5429,5429,3296,4633,1867,2374,1971,3015,1377,3339,3099,3099,3084,0,3108,0,3110,0,3114,0
000 E33H 191100000,E33H, 191100000,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 ERCI 195000000,ERCI, 195000000,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 E33H 191100000,E33H, 191100000,201,0,0,0,0,0,0,396,4217,1248,1514,292,1514,1048,1100,1205,5500,873,0,910,0,915,0,934,0
080 E35H 194000000,E35H, 194000000,201,39820,43766,35898,35344,34151,38171,27228,42737,29571,31408,25032,32290,11513,12713,21590,21590,44614,0,44565,0,24476,0,25088,0
080 ERCI 195000000,ERCI, 195000000,201,0,0,0,0,0,0,1452,0,1569,0,1900,0,1900,0,1730,2415,1740,0,1750,0,1760,0,1770,0
220 E33H 191100000,E33H, 191100000,201,0,0,0,0,0,0,5324,5902,4371,5305,6474,5141,3670,4466,1966,-999,1313,0,1391,0,1436,0,1469,0
220 E35H 194000000,E35H, 194000000,201,0,0,0,0,0,0,2050,2431,2339,2484,2169,5187,1790,4627,13681,16664,14248,0,14296,0,14224,0,10827,0
220 ERCI 195000000,ERCI, 195000000,201,17232,18332,5404,12221,9732,10869,6948,10956,7782,8875,7256,8962,7256,9051,6000,6308,6100,0,6225,0,6325,0,6550,0
2A0 E33H 191100000,E33H, 191100000,201,2027,1923,661,605,1120,1120,38419,45471,35172,43709,31074,46829,37850,40782,32015,36104,39202,0,40001,0,41388,0,42337,0
2A0 E33H 191200000,E33H, 191200000,201,369,379,189,180,127,127,12176,13487,9426,13536,7814,13586,10928,10928,7993,7193,10668,0,11004,0,11265,0,11288,0
2A0 E33H 191300000,E33H, 191300000,201,881,803,266,216,167,167,25027,33402,21373,37544,12174,35531,18552,29828,10178,13678,13197,0,14055,0,14650,0,14699,0
2A0 E33H 191400000,E33H, 191400000,201,0,0,0,0,0,0,742,620,690,1115,399,664,840,840,400,700,715,0,730,0,745,0,763,0
2A0 E35H 194000000,E35H, 194000000,201,14079,15474,8141,8325,6667,6667,159505,177875,138433,147032,102279,151273,128576,144774,96490,97490,98931,0,102858,0,102514,0,104568,0
2A0 ERCI 195000000,ERCI, 195000000,201,12650,13457,17010,11106,16009,16009,14078,16317,13018,17334,12396,11210,12844,11379,11416,12344,10607,0,10859,0,11110,0,11261,0
2A0 QHFM 665301DW8,QHFM, 665301DW8,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,1152,1152,1182,0,1229,0,1273,0,1305,0
220 ERCI 131036000,ERCI, 131036000,202,0,0,0,0,0,0,0,0,0,0,0,2919,2056,3075,2502,3199,2643,0,2814,0,2871,0,2928,0
2A0 QHFM 131036000,QHFM, 131036000,202,0,0,0,0,0,0,0,0,498,3952,69,4241,4756,4756,3852,3852,3856,0,3859,0,3862,0,3862,0
000 QAAP 131018300,QAAP, 131018300,250,0,0,0,46067,0,15557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QAAP 131G18300,QAAP, 131G18300,250,0,0,0,0,0,0,10374,2100,15853,20207,14284,27689,18626,19189,16341,16341,16458,0,16609,0,16807,0,16997,0
180 QAAP 1N3112000,QAAP, 1N3112000,250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3414,3914,3944,0,4077,0,4156,0,4228,0
180 QAAP 1N3812000,QAAP, 1N3812000,250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,898,398,386,0,400,0,397,0,404,0
220 QAAP 131018300,QAAP, 131018300,250,8527,5694,7255,5659,27194,27194,25279,27068,0,28644,16154,17369,8054,8310,7730,8068,7586,0,7726,0,7869,0,8000,0
220 QAAP 131018400,QAAP, 131018400,250,0,4013,0,4227,2534,3198,0,2695,18031,2773,0,5102,5178,5178,5330,5332,5416,0,5498,0,5581,0,5665,0
220 QAAP 435498000,QAAP, 435498000,250,0,0,0,0,0,0,0,0,0,0,839,1096,1108,2479,1286,1267,1143,0,1164,0,1184,0,1209,0
240 QAAP 131R18300,QAAP, 131R18300,250,399,0,0,0,1003,1003,925,1077,948,0,1809,0,2,0,0,0,0,0,0,0,0,0,0,0
240 QAAP 1G11J0000,QAAP, 1G11J0000,250,0,0,8,0,0,0,0,0,216,0,311,0,0,0,184,184,186,0,193,0,195,0,199,0
240 QAAP 1G11K0000,QAAP, 1G11K0000,250,0,0,58,0,0,0,0,0,284,0,456,0,0,0,738,738,743,0,768,0,783,0,796,0
240 QAAP 1G31J0000,QAAP, 1G31J0000,250,0,0,46,0,0,0,0,0,533,0,1802,0,0,0,185,185,186,0,192,0,196,0,198,0
240 QAAP 1G31K0000,QAAP, 1G31K0000,250,0,0,201,0,0,0,0,0,1995,0,2704,0,0,0,738,738,742,0,768,0,783,0,796,0
2A0 QAAP 131018300,QAAP, 131018300,250,25618,38894,19826,43474,79805,79805,84750,81417,77129,108652,74144,92017,82744,84130,64016,64016,63034,0,62681,0,64696,0,66126,0
2A0 QAAP 131R18300,QAAP, 131R18300,250,940,1933,646,1076,858,2098,1812,2796,2970,7832,3197,11264,8199,11109,8354,9382,9504,0,9272,0,9219,0,9423,0
570 QAAP 131018300,QAAP, 131018300,250,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6A0 QAAP 131018300,QAAP, 131018300,250,0,0,0,0,0,0,0,0,0,1908,0,0,2799,3411,3247,3271,3324,0,3385,0,3430,0,3508,0
740 QAAP 131018300,QAAP, 131018300,250,406,86,539,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760 QAAP 131018300,QAAP, 131018300,250,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QACS 131018100,QACS, 131018100,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QACS 131018100,QACS, 131018100,251,1802,0,1650,1984,17,17,28,810,28,830,0,850,864,864,0,0,0,0,0,0,0,0,0,0
180 QACS 131G18100,QACS, 131G18100,251,70834,75787,85364,86043,80717,82317,67604,85408,50173,84068,46048,84800,67160,86569,76577,76851,71619,0,79379,0,80684,0,82285,0
180 QACS 1N3112000,QACS, 1N3112000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520,0,0,0,0,0,0,0,0
180 QACS 1N3812000,QACS, 1N3812000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0
240 QACS 131018100,QACS, 131018100,251,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QACS 131R18100,QACS, 131R18100,251,14198,3069,5047,5317,6044,6070,3624,5172,3667,3480,4319,3649,3636,3680,13663,13663,13925,0,14201,0,14481,0,14785,0
240 QACS 1G11K0000,QACS, 1G11K0000,251,78,93,134,81,88,88,55,90,478,68,221,66,61,68,4216,4216,4282,0,4361,0,4441,0,4513,0
240 QACS 1G12J0000,QACS, 1G12J0000,251,0,0,63,0,0,0,48,0,0,73,14,72,67,74,48,48,49,0,50,0,51,0,52,0
240 QACS 1G12K0000,QACS, 1G12K0000,251,0,0,73,0,0,0,10,0,0,14,273,14,12,15,10,10,10,0,10,0,10,0,10,0
240 QACS 1G17J0000,QACS, 1G17J0000,251,0,0,3,0,0,0,6,0,0,10,0,10,9,10,6,6,7,0,7,0,7,0,7,0
240 QACS 1G17K0000,QACS, 1G17K0000,251,0,0,3,0,0,0,2,0,0,3,2,3,3,3,2,2,2,0,2,0,2,0,2,0
240 QACS 1G1800000,QACS, 1G1800000,251,109,88,0,114,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QACS 1G18K0000,QACS, 1G18K0000,251,0,0,23,0,0,0,13,0,46,15,42,15,12,15,10,10,10,0,10,0,10,0,11,0
240 QACS 1G19J0000,QACS, 1G19J0000,251,0,0,21,0,0,0,32,0,0,46,16,47,44,49,33,33,34,0,34,0,35,0,36,0
240 QACS 1G19K0000,QACS, 1G19K0000,251,0,0,26,0,0,0,10,0,0,14,67,11,11,13,9,9,9,0,9,0,9,0,9,0
240 QACS 1G31J2000,QACS, 1G31J2000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QACS 1G31K0000,QACS, 1G31K0000,251,126,230,215,177,205,205,107,211,436,138,148,134,124,138,88,88,90,0,93,0,95,0,96,0
240 QACS 1G32J0000,QACS, 1G32J0000,251,0,0,46,0,0,0,64,0,0,183,13,180,165,186,121,121,122,0,125,0,128,0,130,0
240 QACS 1G32K0000,QACS, 1G32K0000,251,0,0,127,0,0,0,38,0,0,55,244,54,49,56,36,36,37,0,38,0,38,0,39,0
240 QACS 1G37J0000,QACS, 1G37J0000,251,0,0,7,0,0,0,20,0,0,57,1,57,51,59,40,40,40,0,41,0,42,0,42,0
240 QACS 1G37K0000,QACS, 1G37K0000,251,0,0,8,0,0,0,11,0,0,16,1,16,14,16,11,11,11,0,11,0,11,0,11,0
240 QACS 1G38J0000,QACS, 1G38J0000,251,0,0,19,0,0,0,45,0,1,130,8,127,109,129,83,86,85,0,86,0,87,0,89,0
240 QACS 1G38K0000,QACS, 1G38K0000,251,0,0,27,0,0,0,24,0,39,31,29,30,27,31,19,20,20,0,22,0,20,0,21,0
240 QACS 1G39J0000,QACS, 1G39J0000,251,0,0,55,0,0,0,61,0,0,179,24,180,170,189,125,125,130,0,133,0,136,0,139,0
240 QACS 1G39K0000,QACS, 1G39K0000,251,0,0,58,0,0,0,31,0,0,41,57,39,39,43,28,28,30,0,31,0,31,0,32,0
250 QACS 131018100,QACS, 131018100,251,107,78,59,79,82,82,37,84,84,86,49,87,88,88,89,89,89,0,91,0,93,0,95,0
2A0 QACS 131018100,QACS, 131018100,251,222848,264144,193152,200625,205544,145940,136507,166936,8,162998,141963,171864,152441,177260,164077,174543,167900,0,172239,0,175485,0,179353,0
2A0 QACS 131R18100,QACS, 131R18100,251,202,14039,25016,26391,33405,34317,23457,34761,17321,38225,15049,39207,39783,39919,26371,26377,26886,0,27425,0,27973,0,28530,0
360 QACS 131018100,QACS, 131018100,251,61,21,20,21,22,22,0,23,0,23,1,24,0,0,0,0,0,0,0,0,0,0,0,0
390 QACS 131018100,QACS, 131018100,251,0,0,0,0,0,0,0,0,0,54,0,56,57,57,30,30,31,0,32,0,33,0,34,0
440 QACS 131018100,QACS, 131018100,251,362,362,243,367,349,358,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500 QACS 131018100,QACS, 131018100,251,117,57,68,57,57,57,0,57,0,58,0,59,0,0,0,0,0,0,0,0,0,0,0,0
570 QACS 131018100,QACS, 131018100,251,80,1,0,0,0,0,262,0,269,285,286,291,291,297,292,308,308,0,314,0,320,0,326,0
6A0 QACS 131018100,QACS, 131018100,251,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740 QACS 131018100,QACS, 131018100,251,1750,1568,1960,2127,971,1161,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760 QACS 131018100,QACS, 131018100,251,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780 QACS 131018100,QACS, 131018100,251,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QACS 131018100,QACS, 131018100,251,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QACS 131R18100,QACS, 131R18100,251,84,84,87,88,87,88,112,90,125,91,113,94,97,97,103,103,107,0,107,0,109,0,112,0
820 QACS 1G12K0000,QACS, 1G12K0000,251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QACS 1G19K0000,QACS, 1G19K0000,251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QACS 1G32K0000,QACS, 1G32K0000,251,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QACS 1G37K0000,QACS, 1G37K0000,251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820 QACS 1G39K0000,QACS, 1G39K0000,251,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890 QACS 131018100,QACS, 131018100,251,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890 QACS 131R18100,QACS, 131R18100,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QCYS 131017200,QCYS, 131017200,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000 QCYS 131017300,QCYS, 131017300,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080 QCYS 131017200,QCYS, 131017200,252,117,118,116,117,117,194,325,191,331,195,334,199,117,358,121,365,124,0,127,0,129,0,132,0
180 QCYS 131G17200,QCYS, 131G17200,252,16342,13068,6963,9121,13888,13888,14891,14891,13186,15798,6782,16620,16614,17580,18338,18338,18703,0,18703,0,18703,0,19077,0
180 QCYS 131G17300,QCYS, 131G17300,252,8051,18210,14139,18945,14119,14119,13077,14594,12133,14842,14121,15094,15352,15352,15487,15613,15925,0,15925,0,15925,0,16244,0
240 QCYS 131R17200,QCYS, 131R17200,252,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240 QCYS 131R17300,QCYS, 131R17300,252,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A0 QCYS 131017200,QCYS, 131017200,252,523253,391912,527008,410759,386274,395557,0,415670,0,376161,387167,418450,350212,351640,357700,349075,350626,0,344377,0,344861,0,351826,0
2A0 QCYS 131017300,QCYS, 131017300,252,140,135924,28,138867,125271,125271,450850,129667,46433,96447,0,126704,91691,126530,121746,125718,118161,0,117085,0,117114,0,119475,0
2A0 QCYS 131R17200,QCYS, 131R17200,252,189,12337,10217,10844,8048,8439,7431,13080,8913,13523,2614,14154,16350,14622,12196,12196,12435,0,12684,0,12937,0,13195,0
2A0 QCYS 131R17300,QCYS, 131R17300,252,0,6900,6365,6755,13108,13108,6859,11985,8227,12113,2296,12437,8785,12848,8346,8346,8510,0,8679,0,8853,0,9030,0
2A0 QCYS 665301DW8,QCYS, 665301DW8,252,0,0,0,0,0,0,0,0,0,0,0,0,0,885,718,718,1989,0,1087,0,1126,0,1155,0
740 QCYS 131017200,QCYS, 131017200,252,2352,1826,2399,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740 QCYS 131017300,QCYS, 131017300,252,369,868,290,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180 QSUP 131G40200,QSUP, 131G40200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,503,501,501,501,501,501,501
