ISS,Funding, Requirement,Funding, Requirement,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements,Funding,Requirements
109,0,0,17,0,0,0,0,0,0,0,0,60,0,60,59,70,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,9,18,9,18,9,30,24,31,10,10,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-231,12,-547,31,0,0,0,0,0,0,0,0
111,0,0,0,0,259,265,255,255,2088,522,258,573,262,601,594,659,672,680,415,0,426,0,439,0,463,0
111,0,0,7296,6644,4123,16770,12399,13725,12011,27224,11797,26850,27562,31480,24424,25676,24134,26403,11403,0,11618,0,11830,0,11891,0
111,0,0,0,0,287,613,648,648,866,1204,878,1165,1026,1085,1076,1198,1086,1219,605,0,563,0,574,0,636,0
111,0,0,0,0,0,88,93,93,96,192,99,198,102,344,250,365,107,107,0,0,0,0,0,0,0,0
111,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,106,106,112,224,112,112,114,228,194,231,116,116,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,455,500,253,506,256,602,487,411,262,262,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-617,31,-944,49,0,0,0,0,0,0,0,0
112,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,173,177,511,511,511,1048,517,1144,522,1556,1255,1418,1444,1461,932,0,930,0,961,0,988,0
112,0,0,12339,0,12619,0,5506,15184,42011,36614,38816,47237,35072,46400,38176,44956,43799,45397,23811,0,24092,0,25347,0,25087,0
112,0,0,388,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,2862,0,0,0,0,0,0,0,0,2189,278,1256,1245,1550,1390,1572,1605,0,1665,0,1695,0,1693,0
112,0,0,28963,14762,14724,13934,29921,30239,28264,57528,27932,55811,56121,60703,50948,59589,51457,54397,25561,0,25238,0,25282,0,25435,0
112,0,0,1149,0,286,615,3353,3353,5348,5728,5368,4687,4113,5983,4153,4919,3921,4925,1713,0,1754,0,1624,0,1753,0
112,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,88,93,93,96,192,99,198,102,308,250,315,107,107,0,0,0,0,0,0,0,0
112,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,10,10,14,28,14,14,13,26,27,32,16,16,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,150,300,152,304,382,349,251,251,158,158,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-981,49,-1845,94,0,0,0,0,0,0,0,0
113,0,0,4984,0,87,88,86,86,178,198,99,99,101,101,102,102,105,105,0,0,0,0,0,0,0,0
113,0,0,0,185,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,12040,15436,10022,17534,10159,28948,2462,55394,12584,42351,7782,43171,9117,42381,17765,44234,13379,0,13390,0,14994,0,14837,0
113,0,0,2710,37,733,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,58596,39195,33668,59028,44177,53923,46039,108444,45739,109253,106427,101749,95861,102176,95028,95691,51045,0,47276,0,48410,0,51039,0
113,0,0,5109,47564,17371,46418,2231,16381,9097,12376,9728,12147,10841,12129,10715,12459,10968,12129,5231,0,5309,0,5315,0,5434,0
113,0,0,0,418,300,427,413,413,623,880,448,788,457,1037,873,874,473,475,0,0,0,0,0,0,0,0
113,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-770,39,-1338,68,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,84,227,0,188,0,288,0,146,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,405,36,153,78,78,95,162,68,82,73,83,72,84,71,85,0,0,0,0,0,0,0,0
