ID,ISS100,ISS102,ISS103,ISS104,ISS105,ISS106,ISS107,ISS109,ISS111,ISS112,ISS115,ISS116,ISS118,ISS121,ISS113,ISS250,ISS800,ISS803,ISS202,ISS251,ISS252,ISS253,ISS254,ISS201,ISS414,ISS411,ISS420,ISS200,ISS400,ISS402,ISS403,ISS404,ISS405,ISS406,ISS408,ISS500,ISS501,ISS502,ISS503,ISS504,ISS505,ISS506,ISS507,ISS510,ISS401,ISS600,ISS601,ISS602,ISS603,ISS604,ISS702,ISS900,ISS901,ISS902,ISS903,ISS904,ISS905,ISS906,ISS701,ISS703,ISS700,ISS300,ISS301,ISS302,ISS303,ISS304,ISS305,ISS306,ISS307,ISS308,ISS309
Def16,-4325537,-2353988,6521884,4107559,3517580,1773830,-2265471,3553981,-3791594,-1285133,-7794089,1457745,696710,1638871,-948555,-95700,-6559235,-3589653,198134,-4288455,-6375371,-4204129,5423972,-5183790,-221708,5031971,7958130,3949612,-5495804,-6629971,-3284275,-5921853,-2677272,-5595994,2993306,1422508,27416,-1941991,2414827,-4043407,1332256,1677695,-5169748,1829597,-1578236,2275394,-1196438,1087938,-3506404,7238113,-2870266,3068631,-33711,-6884987,-5993000,-116172,-3182372,-2339605,3723618,396446,2201306,-7529735,-2370786,-1514613,622123,-1684606,553021,3847161,-431305,-4571023,-2922965
Def17,-2749922,-1529004,3111506,-2699902,6804233,1153462,6566890,-5946498,-5844183,4329665,-6780207,1526181,8619017,226910,4564483,-2405689,2925694,3679701,-903615,-1309245,2576073,-2586356,326947,-4807557,3697326,1221474,464831,-6338056,-1717819,-50793,5550760,-22098,7181809,-2885093,1604784,2685212,1503864,8176179,-813923,1938147,-1070163,2545915,-533213,7511690,3744660,3524073,-4891098,-5687900,157263,-738870,-4474472,-997479,-1789818,3151127,899110,-733479,-5820242,-3286786,-1953913,1007493,4084040,-4210549,-3356636,1040835,-7116254,-173905,-2427471,1062822,6321011,-3856725,108980
Def18,-1918079,-4141636,29509,1689197,-1997351,-769578,4110549,497526,1625194,-2973736,1374061,-1978194,-1069089,3961242,3244172,1016001,-7382466,-3324477,5294220,512091,-2619380,482693,-8157965,1218577,-2824440,-4403219,4199980,-4137284,-3772683,-2212097,-6200796,296685,1623847,-930245,1288756,82047,-1497364,641794,-4245001,865593,-4932039,1326100,2331882,716231,4109358,5316387,4136936,5596592,2156607,-6522790,3654604,4030839,-1127714,101883,3008362,601465,3307555,1815877,-5594416,-1262882,2571257,905067,-1056265,8572124,-4509411,7797705,4261654,-6742232,-1215590,-773326,4158848
Def19,-1102418,3614227,1184600,5108729,-5155375,7097205,-927088,-2400256,-4834049,-3356238,-4130061,-1330385,1476843,2236118,1581665,3111272,263761,250264,7908885,245451,4356047,6992419,-2125051,8461215,-5132698,-2294189,-1815304,1420575,1168153,4739011,-6321484,3077033,4073221,404018,-1033953,-5138305,-1038681,577062,-940390,1827733,1565769,3891606,-6995,1195204,-8120698,1087353,-4926488,2529030,-6471954,1623836,4566489,1009679,-195357,6992130,-3092812,2919092,-6596567,2302044,1187933,5980514,3011992,-196109,55596,1170931,1442312,3031265,1522661,-1609378,4366602,-1826116,-1949741
Def20,-4758763,-3706580,2772739,-3540968,-3054400,-4140518,-3479147,-872982,4116991,-2050470,205037,1212568,-3231594,-3058427,-7169384,2515192,3599579,-2799996,-6309141,392571,-7260086,670630,-5083671,-420376,3400672,2607981,-2496662,-3488472,-6510429,-4821679,2840758,834812,-1206266,2707288,-600926,-3355071,-3373054,-3373007,-3769732,-3518549,353243,5256028,1754761,-6231150,-3257114,-2688843,-5051107,-5161287,3160793,-3195653,-5627501,527988,230864,4162107,2658474,-2353154,546485,-1194995,-887615,808031,-2101010,523415,-1909578,2642699,-4579940,-269969,132590,-3811710,6633388,2952825,-467171
Def21,-7466911,-6976416,-6761753,-6606187,-6385155,-5194105,-4906993,-4474640,-4372570,-4277853,-4146527,-4064659,-3985372,-3775348,-3535992,-3515542,-3470739,-3357340,-3264022,-3198958,-2876094,-2603314,-2391274,-2132943,-2106862,-1968066,-1819063,-1619506,-1122569,-849486,-663615,-609797,-563264,-232224,-53592,110415,277864,799486,938010,1001945,1090745,1114199,1240016,1381225,1402675,1403380,1750167,1921331,2095889,2322111,2357929,2362026,2607507,3000860,3017256,3021496,3068265,3082024,3092004,3446943,3675237,3743384,3881483,3998840,4026313,4575265,4631406,4816602,5627704,6311825,6740050
Size10,13,9,19,10,12,23,24,24,6,22,23,21,16,24,14,12,19,13,17,24,13,9,24,14,17,17,21,16,10,13,17,20,9,10,15,20,12,13,10,17,13,24,14,21,20,19,21,13,19,24,14,17,24,14,14,19,14,18,14,14,14,24,24,15,10,11,14,23,16,12,10
Size11,13,18,12,16,10,14,10,17,16,9,21,24,2,15,8,21,14,10,14,24,5,11,12,14,23,13,21,12,14,14,13,18,13,9,18,22,14,10,13,13,9,16,15,9,14,15,16,12,15,9,14,14,8,10,14,8,21,9,23,17,16,22,16,9,9,19,19,23,24,23,21
Size12,12,21,13,8,14,13,14,17,14,14,12,16,15,11,13,14,17,9,10,17,20,8,14,15,19,14,18,14,11,16,14,18,22,15,15,10,24,24,13,14,18,14,14,20,14,18,15,11,15,14,14,17,11,10,9,20,16,18,17,17,14,13,12,20,20,17,16,20,20,15,20
Size13,14,14,10,12,17,12,13,6,14,10,18,24,13,13,14,20,12,17,14,11,14,12,9,19,18,14,9,21,14,10,13,15,8,19,8,16,10,8,5,14,23,9,10,9,9,19,16,13,5,10,18,13,11,15,14,15,15,9,18,18,14,9,17,13,11,9,8,19,13,14,10
Size14,14,18,14,16,14,14,18,14,15,18,22,16,9,7,24,10,24,9,12,10,24,20,18,22,11,7,14,19,18,16,12,24,21,7,15,21,17,21,14,11,14,14,9,15,9,13,17,10,14,14,2,15,14,9,17,14,17,15,19,14,14,21,15,21,10,14,24,22,19,14,13
Size15,14,14,16,10,16,13,15,13,16,16,14,17,24,9,16,15,10,15,19,14,13,24,14,16,7,18,21,5,19,9,15,20,17,15,21,10,6,19,12,9,13,19,14,15,15,16,21,17,14,8,17,10,13,10,8,17,21,10,13,9,15,16,17,16,9,16,23,24,13,13,16
Size16,17,14,22,17,16,13,14,16,16,12,24,12,9,13,10,6,22,16,8,17,21,17,19,19,8,19,24,16,19,22,15,20,14,20,14,12,4,13,14,17,12,13,19,13,13,14,11,11,16,23,14,15,5,22,20,7,15,14,16,9,14,24,14,13,9,13,9,16,9,18,14
Size17,14,13,15,14,22,11,22,20,20,17,22,13,24,8,18,14,14,16,10,12,14,14,9,18,16,11,9,21,13,5,20,4,23,14,13,14,13,24,10,13,11,14,9,24,16,16,18,20,8,10,17,10,13,15,10,10,20,15,13,11,17,17,15,11,23,8,14,11,21,16,7
Size18,13,17,4,13,13,10,17,9,13,14,12,13,11,16,15,11,23,15,19,9,14,9,24,11,14,17,17,17,16,14,21,8,13,10,12,6,12,9,17,10,18,12,14,10,17,19,17,20,14,22,16,17,11,7,15,9,15,13,20,12,14,10,11,24,18,24,17,22,11,10,17
Size19,11,16,11,19,19,23,10,14,18,15,17,12,12,14,13,15,8,8,24,8,17,22,14,24,19,14,13,12,11,18,21,15,17,9,11,19,11,9,10,13,13,16,3,11,24,11,18,14,21,13,18,11,8,22,15,14,22,14,11,20,15,8,5,11,12,15,13,13,17,13,13
Size20,18,16,14,16,15,17,15,10,17,14,8,11,15,15,23,14,16,14,21,9,23,9,19,9,15,14,14,15,22,18,14,10,11,14,9,15,15,15,16,16,9,19,13,21,15,14,19,19,15,15,20,9,8,17,14,14,9,11,10,10,14,9,13,14,18,8,7,16,22,14,9
Size21,23,22,22,22,21,19,18,17,17,17,17,17,16,16,16,16,15,15,15,15,14,14,14,14,14,13,13,13,11,10,9,9,9,8,5,7,8,10,10,11,11,11,11,12,12,12,13,13,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,17,18,18,18,20,21,22
