Button,ISS1,ISS2,ISS3,ISS4,ISS5,ISS6,ISS7,ISS8,ISS9,ISS10,ISS11,ISS12,ISS13,ISS14,ISS15,ISS16,ISS17,ISS18,ISS19,ISS20,ISS21,ISS22,ISS23,ISS24,ISS25,ISS26,ISS27,ISS28,ISS29,ISS30,ISS31,ISS32,ISS33,ISS34,ISS35,ISS36,ISS37,ISS38,ISS39,ISS40,ISS41,ISS42,ISS43,ISS44,ISS45,ISS46,ISS47,ISS48,ISS49,ISS50,ISS51,ISS52,ISS53,ISS54,ISS55,ISS56,ISS57,ISS58,ISS59,ISS60,ISS61,ISS62,ISS63,ISS64,ISS65,ISS66,ISS67,ISS68,ISS69,ISS70,ISS71
2018,0,0,0,0,0,-6802000,0,0,0,0,0,0,0,0,0,-7355000,-24343000,0,0,0,0,0,0,0,0,0,0,0,-122664000,-8220000,-6492000,0,0,-532000,-47000,0,0,0,0,0,0,0,0,-1413000,-102000,0,0,0,0,0,0,0,0,0,0,0,0,0,-15952000,0,0,-5424000,0,0,0,0,-17481000,0,0,0,0
2019,0,0,0,0,0,-6661000,0,0,0,-2000,0,0,0,0,0,-4432000,-26776000,0,0,0,0,0,0,0,0,0,0,0,-108807000,-5584000,-6875000,0,0,-431000,-49000,0,0,0,0,0,0,0,0,-2267000,-56000,0,0,0,0,0,0,0,0,0,0,0,0,0,-13292000,0,0,-5659000,0,0,0,0,-19052000,0,0,0,0
2020,0,0,0,0,0,-6603000,0,0,0,0,0,0,0,0,0,-4310000,-25305000,0,0,0,0,0,0,0,0,0,0,0,-115802000,-4451000,-19995000,0,0,-442000,-49000,0,0,0,0,0,0,0,0,-1202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13281000,0,0,-5559000,0,0,0,0,-19252000,0,0,0,0
2021,0,0,0,0,0,-6532000,0,0,0,0,0,0,0,0,0,-4281000,-24100000,0,0,0,0,0,0,0,0,0,0,0,-134600000,-2456000,-14867000,0,0,-554000,-49000,0,0,0,0,0,0,0,0,-1215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13193000,0,0,-5565000,0,0,0,0,-19165000,0,0,0,0
Total16,"158,569,000","-430,010,500",0,0,"-430,010,500",0,"-63,775,000","-36,714,000","-50,856,000",0,0,0,"54,422,500","-1,451,652,000","-1,405,000",0,0,0,"-11,564,000","-1,000","-82,895,000","-98,317,500","-98,317,500","-334,827,000",0,0,0,"-587,074,000",0,0,0,0,"-151,153,000",0,0,"-1,029,443,000",0,"-197,946,000",0,0,0,"-327,956,000","-218,544,000",0,0,"-1,714,887,000",0,"-211,839,000","-390,840,000","-104,074,000","180,496,000","-70,656,000","-368,000","-368,000",0,0,0,0,0,0,"-1,876,118,000",0,"-202,825,000",0,"-453,862,000",0,0,"-506,748,000","-554,432,000",0,0
Pred21,"-45,990,000","-3,644,000",0,0,"-3,644,000","-26,598,000","-3,562,000","-2,914,000","-2,957,000","-2,000",0,0,"-4,179,000","-138,310,000",0,"-20,378,000","-100,524,000",0,"-697,000",0,"-7,960,000","-12,891,500","-12,891,500","-79,727,000",0,0,0,"-88,918,000","-481,873,000","-20,711,000","-48,229,000",0,"-11,384,000","-1,959,000","-194,000","-78,245,000",0,"-9,174,000",0,0,0,"-83,227,000","-45,010,000","-6,097,000","-158,000","-316,753,000",0,"-2,722,000","-59,547,000","-8,898,000","-29,968,000","-22,083,000","-6,714,500","-6,714,500",0,0,0,0,"-55,718,000",0,"-271,308,000","-22,207,000","-7,506,000",0,"-9,948,000",0,"-74,950,000","-60,420,000","-89,110,000",0,0
2010,43960000,-15175000,0,0,-15175000,0,-4308000,7108000,652000,0,0,0,39540500,-148934000,0,0,0,0,0,0,-3814000,-3148000,-3148000,-24684000,0,0,0,62429000,0,0,0,0,17975000,0,0,-295947000,0,-16662000,0,0,0,121919000,-20550000,0,0,395488000,0,-15129000,-7320000,-4931000,-68879000,17288000,11143500,11143500,0,0,0,0,0,0,-227626000,0,-24970000,0,-100254000,0,0,-48582000,8877000,0,0
2011,174500000,-30489500,0,0,-30489500,0,-22253000,5280000,-12521000,0,0,0,53731500,-158049000,-88000,0,0,0,0,-1000,-15522000,-17109500,-17109500,-111080000,0,0,0,-995000,0,0,0,0,-12754000,0,0,-621795000,0,-40290000,0,0,0,106856000,-45218000,0,0,319384000,0,-90938000,-31503000,-20442000,-464820000,38597000,29475500,29475500,0,0,0,0,0,0,-226549000,0,-92542000,0,-101247000,0,0,-58962000,-3065000,0,0
2012,153649000,-35365000,0,0,-35365000,0,-25033000,-2268000,-13847000,0,0,0,53440500,-295183000,-246000,0,0,0,0,-1000,-22621000,-22296500,-22296500,-124808000,0,0,0,-77212000,0,0,0,0,-23147000,0,0,-668067000,0,-41294000,0,0,0,73200000,-57831000,0,0,-97268000,0,-109648000,-44232000,-28324000,-492681000,32450000,23685500,23685500,0,0,0,0,0,0,-279843000,0,-95682000,0,-101761000,0,0,-2096000,-9622000,0,0
2013,349977000,-90084000,0,0,-90084000,0,-50731000,-20159000,-28085000,0,0,0,57058000,-621294000,-329000,0,0,0,0,-1000,-46501000,-46289500,-46289500,-168155000,0,0,0,-212427000,0,0,0,0,-75226000,0,0,-765586000,0,-114746000,0,0,0,-16116000,-91050000,0,0,-545458000,0,-104327000,-138419000,-51592000,-646292000,25518000,18660000,18660000,0,0,0,0,0,0,-353219000,0,-148737000,0,-127567000,0,0,-82902000,-109925000,0,0
2014,258024000,-311122500,0,0,-311122500,0,-73178000,-36324000,-44092000,0,0,0,57955500,-931778000,-820000,0,0,0,-3454000,-1000,-68730000,-59943000,-59943000,-215962000,0,0,0,-334523000,0,0,0,0,-125237000,0,0,-864592000,0,-150429000,0,0,0,-109991000,-158268000,0,0,-960387000,0,-159790000,-263971000,-64736000,-235643000,14124000,13874000,13874000,0,0,0,0,0,0,-947798000,0,-199128000,0,-347380000,0,0,-318997000,-213890000,0,0
2015,205294000,-407860500,0,0,-407860500,0,-60752000,-34122000,-49110000,0,0,0,61316000,-1315361000,-1449000,0,0,0,-10545000,-1000,-75499000,-80269000,-80269000,-274438000,0,0,0,-455148000,0,0,0,0,-138469000,0,0,-945064000,0,-188472000,0,0,0,-220157000,-174843000,0,0,-1438917000,0,-203917000,-329745000,-89685000,191544000,-17743000,5583500,5583500,0,0,0,0,0,0,-1586741000,0,-196689000,0,-441472000,0,0,-433360000,-453006000,0,0
2016,158569000,-430010500,0,0,-430010500,0,-63775000,-36714000,-50856000,0,0,0,54422500,-1451652000,-1405000,0,0,0,-11564000,-1000,-82895000,-98317500,-98317500,-334827000,0,0,0,-587074000,0,0,0,0,-151153000,0,0,-1029443000,0,-197946000,0,0,0,-327956000,-218544000,0,0,-1714887000,0,-211839000,-390840000,-104074000,180496000,-70656000,-368000,-368000,0,0,0,0,0,0,-1876118000,0,-202825000,0,-453862000,0,0,-506748000,-554432000,0,0
2017,112579000,-433654500,0,0,-433654500,0,-67337000,-39628000,-53813000,0,0,0,50243500,-1589962000,-1405000,0,0,0,-12261000,-1000,-90855000,-111209000,-111209000,-414554000,0,0,0,-675992000,0,0,0,0,-162537000,0,0,-1107688000,0,-207120000,0,0,0,-411183000,-263554000,0,0,-2031640000,0,-214561000,-450387000,-112972000,150528000,-92739000,-7082500,-7082500,0,0,0,0,0,0,-2147426000,0,-210331000,0,-463810000,0,0,-567168000,-643542000,0,0
2018,112579000,-433654500,0,0,-433654500,-6802000,-67337000,-39628000,-53813000,0,0,0,50243500,-1589962000,-1405000,-7355000,-24343000,0,-12261000,-1000,-90855000,-111209000,-111209000,-414554000,0,0,0,-675992000,-122664000,-8220000,-6492000,0,-162537000,-532000,-47000,-1107688000,0,-207120000,0,0,0,-411183000,-263554000,-1413000,-102000,-2031640000,0,-214561000,-450387000,-112972000,150528000,-92739000,-7082500,-7082500,0,0,0,0,-15952000,0,-2147426000,-5424000,-210331000,0,-463810000,0,-17481000,-567168000,-643542000,0,0
2019,112579000,-433654500,0,0,-433654500,-13463000,-67337000,-39628000,-53813000,-2000,0,0,50243500,-1589962000,-1405000,-11787000,-51119000,0,-12261000,-1000,-90855000,-111209000,-111209000,-414554000,0,0,0,-675992000,-231471000,-13804000,-13367000,0,-162537000,-963000,-96000,-1107688000,0,-207120000,0,0,0,-411183000,-263554000,-3680000,-158000,-2031640000,0,-214561000,-450387000,-112972000,150528000,-92739000,-7082500,-7082500,0,0,0,0,-29244000,0,-2147426000,-11083000,-210331000,0,-463810000,0,-36533000,-567168000,-643542000,0,0
2020,112579000,-433654500,0,0,-433654500,-20066000,-67337000,-39628000,-53813000,-2000,0,0,50243500,-1589962000,-1405000,-16097000,-76424000,0,-12261000,-1000,-90855000,-111209000,-111209000,-414554000,0,0,0,-675992000,-347273000,-18255000,-33362000,0,-162537000,-1405000,-145000,-1107688000,0,-207120000,0,0,0,-411183000,-263554000,-4882000,-158000,-2031640000,0,-214561000,-450387000,-112972000,150528000,-92739000,-7082500,-7082500,0,0,0,0,-42525000,0,-2147426000,-16642000,-210331000,0,-463810000,0,-55785000,-567168000,-643542000,0,0
2021,112579000,-433654500,0,0,-433654500,-26598000,-67337000,-39628000,-53813000,-2000,0,0,50243500,-1589962000,-1405000,-20378000,-100524000,0,-12261000,-1000,-90855000,-111209000,-111209000,-414554000,0,0,0,-675992000,-481873000,-20711000,-48229000,0,-162537000,-1959000,-194000,-1107688000,0,-207120000,0,0,0,-411183000,-263554000,-6097000,-158000,-2031640000,0,-214561000,-450387000,-112972000,150528000,-92739000,-7082500,-7082500,0,0,0,0,-55718000,0,-2147426000,-22207000,-210331000,0,-463810000,0,-74950000,-567168000,-643542000,0,0
